Time, Freq, J11, J12, J21, J22
2020-12-15T20:04:00,27000000.0,(-0.5335958672212242+0.03870655019328595j),(-0.6041997240166233+0.020486141401089016j),(-0.42129376785230394+0.03884542271091643j),(0.6043130081664682-0.0275055279783918j)
2020-12-15T20:12:32,27000000.0,(-0.5409345437952144+0.03921069189847744j),(-0.589960909977615+0.019744489124483025j),(-0.4166522233360777+0.037479035667511984j),(0.6263427938529019-0.02741233611815639j)
2020-12-15T20:21:04,27000000.0,(-0.547805298440412+0.03966762734571518j),(-0.5744256547598864+0.019071245559193033j),(-0.4116663268886367+0.03614522450677299j),(0.6473937414556207-0.02740555064406168j)
2020-12-15T20:29:36,27000000.0,(-0.554215931421708+0.040094683982271555j),(-0.5576526607364223+0.018470152345890063j),(-0.4063442227206646+0.0348398910955762j),(0.6673818012836341-0.027485447362763357j)
2020-12-15T20:38:08,27000000.0,(-0.5601736055244557+0.04050869563603604j),(-0.5397053736199035+0.017944407584433893j),(-0.40069225543715475+0.03355749552943509j),(0.686226728870148-0.027651522174476875j)
2020-12-15T20:46:40,27000000.0,(-0.5656845611574719+0.04092569485731973j),(-0.5206516754161332+0.01749661088127726j),(-0.3947151251437329+0.032291164611352195j),(0.7038525539063848-0.02790253346876085j)
2020-12-15T20:55:12,27000000.0,(-0.5707538561493624+0.04136062900215981j),(-0.5005635543787693+0.01712871088632129j),(-0.3884160648255957+0.031032824781894373j),(0.7201880301245632-0.028236551306067236j)
2020-12-15T21:03:44,27000000.0,(-0.5753851306240149+0.04182710395397487j),(-0.47951675806799693+0.016841959209217317j),(-0.3817970355495516+0.02977335924057069j),(0.7351670605736861-0.02865101301517203j)
2020-12-15T21:12:16,27000000.0,(-0.5795803966039903+0.04233715791466939j),(-0.4575904347924383+0.016636873750170866j),(-0.3748589362876286+0.028502788604085113j),(0.7487290939468623-0.0291427844005183j)
2020-12-15T21:20:48,27000000.0,(-0.583339852266037+0.04290106652273514j),(-0.4348667656320519+0.016513213289033712j),(-0.36760182600532326+0.0272104737786094j),(0.7608194894088891-0.02970822520016279j)
2020-12-15T21:29:20,27000000.0,(-0.5866617207034742+0.0435271796590633j),(-0.41143059096643064+0.016469963940809955j),(-0.3600251578303601+0.025885339124387924j),(0.7713898452781967-0.030343256696447173j)
2020-12-15T21:37:52,27000000.0,(-0.5895421147111841+0.044221789937147794j),(-0.38736903194109235+0.016505336891657285j),(-0.35212802502618706+0.024516112848976247j),(0.7803982883976635-0.031043428787396535j)
2020-12-15T21:46:24,27000000.0,(-0.5919749299127613+0.0449890327478414j),(-0.3627711090515806+0.01661677600201625j),(-0.3439094191516189+0.0230915805625146j),(0.7878097190269966-0.03180398332609211j)
2020-12-15T21:54:56,27000000.0,(-0.5939517696495743+0.04583081783473522j),(-0.3377273606819211+0.016800973404887617j),(-0.3353685001926284+0.02160084681512094j),(0.7935960058805638-0.032619910379607577j)
2020-12-15T22:03:28,27000000.0,(-0.5954619057656712+0.04674679260559085j),(-0.3123294632738898+0.017053891221166635j),(-0.32650487649999804+0.020033598355550318j),(0.7977361265424604-0.03348599439166846j)
2020-12-15T22:12:00,27000000.0,(-0.5964922789559265+0.04773433737023544j),(-0.2866698586860612+0.017370787849367304j),(-0.3173188917354268+0.018380362377528544j),(0.8002162482513491-0.03439684783002335j)
2020-12-15T22:20:32,27000000.0,(-0.5970275417569784+0.04878859263461152j),(-0.260841393134491+0.01774624787366806j),(-0.3078119138346884+0.01663275272894344j),(0.8010297463062744-0.03534693097477008j)
2020-12-15T22:29:04,27000000.0,(-0.5970501457922971+0.049902518254494065j),(-0.23493697253306878+0.018174215327714738j),(-0.29798661977584806+0.014783697385590048j),(0.8001771591346732-0.03633055771527537j)
2020-12-15T22:37:36,27000000.0,(-0.5965404731571635+0.05106698364963071j),(-0.20904924073243925+0.01864803067011435j),(-0.28784726998680793+0.012827641435503839j),(0.7976660814624726-0.03734188837151259j)
2020-12-15T22:46:08,27000000.0,(-0.5954770101898158+0.05227088770933289j),(-0.18327028437248497+0.01916047236029416j),(-0.2773999655178288+0.010760720895359939j),(0.7935109997282316-0.03837491168929882j)
2020-12-15T22:54:40,27000000.0,(-0.5938365602858948+0.05350130629092572j),(-0.1576913682275219+0.019703804217087326j),(-0.26665288221832484+0.008580904206104956j),(0.7877330759527421-0.039423418893481596j)
