Time, Freq, J11, J12, J21, J22
2020-12-15T20:04:00,15000000.0,(-0.5292517423926791+0.04553126486261331j),(-0.5649471686124001-0.017845344684882396j),(-0.43397522596057203+0.06759351484669693j),(0.5800079525148654-0.009987236606121448j)
2020-12-15T20:12:32,15000000.0,(-0.5385022460058632+0.04870637088890104j),(-0.5527569046783556-0.016533197344529967j),(-0.42841046238409813+0.06434946216417751j),(0.5998672367674055-0.0069645953723818975j)
2020-12-15T20:21:04,15000000.0,(-0.5471840722596775+0.051757835254965454j),(-0.5393472708806657-0.014992463908548054j),(-0.42236540992175886+0.060998764448543165j),(0.6188037670626495-0.0041254959038655005j)
2020-12-15T20:29:36,15000000.0,(-0.5552943164687025+0.054685768168850964j),(-0.5247686007840664-0.013230888832984466j),(-0.4158522306182125+0.05754492330692823j),(0.6367392275981001-0.001484547563358282j)
2020-12-15T20:38:08,15000000.0,(-0.5628303940952103+0.057490467268721715j),(-0.5090764822936713-0.011257231665630887j),(-0.40888224980576543+0.05399114326445339j),(0.6535992784083232+0.0009447919547485402j)
2020-12-15T20:46:40,15000000.0,(-0.5697897881066621+0.060172309997585126j),(-0.49233150431119654-0.00908123568068317j),(-0.40146608651693794+0.05034037023641899j),(0.6693140343540736+0.0031502444884126055j)
2020-12-15T20:55:12,15000000.0,(-0.5761698155215477+0.06273165838927344j),(-0.4745989592217448-0.006713597936979579j),(-0.3936138012759359+0.04659533727871811j),(0.6838185142309423+0.005120737235604729j)
2020-12-15T21:03:44,15000000.0,(-0.5819674144562234+0.06516877657085061j),(-0.4559485069108495-0.004165938815551117j),(-0.38533505764686654+0.04275861821534079j),(0.6970530537312982+0.006846426351290539j)
2020-12-15T21:12:16,15000000.0,(-0.5871789519796851+0.06748376043385652j),(-0.43645380599168637-0.0014507695646266334j),(-0.3766392949832152+0.03883268982069686j),(0.70896367715438+0.008318718324702504j)
2020-12-15T21:20:48,15000000.0,(-0.5918000531105705+0.06967647852257372j),(-0.4161921157188739+0.0014185432043491274j),(-0.36753591015039355+0.03482000279729157j),(0.7195024245151925+0.009530289591436874j)
2020-12-15T21:29:20,15000000.0,(-0.5958254507372589+0.07174652258436037j),(-0.39524387395857846+0.004427816080104506j),(-0.3580344479243347+0.030723062000261654j),(0.7286276291742746+0.010475104969617302j)
2020-12-15T21:37:52,15000000.0,(-0.59924885782532+0.0736931666273065j),(-0.3736922537283027+0.007562090205758522j),(-0.3481447990008647+0.026544515337151596j),(0.7363041429125281+0.01114843609432608j)
2020-12-15T21:46:24,15000000.0,(-0.6020628638825353+0.07551533347897352j),(-0.35162270253693867+0.010805674519930855j),(-0.33787740501513075+0.022287250436026182j),(0.7425035042605227+0.011546881116726835j)
2020-12-15T21:54:56,15000000.0,(-0.6042588588335612+0.07721156839667202j),(-0.32912246950177354+0.014142189814955287j),(-0.3272434692563088+0.017954497456674955j),(0.7472040464839447+0.011668387035688822j)
2020-12-15T22:03:28,15000000.0,(-0.6058269883693013+0.07878002000138509j),(-0.30628012433745144+0.01755461296714513j),(-0.3162551697447916+0.013549935370589078j),(0.7503909429207846+0.011512275865957489j)
2020-12-15T22:12:00,15000000.0,(-0.6067561445485015+0.08021842907128703j),(-0.2831850759732384+0.021025320710851822j),(-0.3049258712833718+0.009077798995644489j),(0.7520561879041644+0.011079275350715945j)
2020-12-15T22:20:32,15000000.0,(-0.6070339951228536+0.08152412620376506j),(-0.25992709768913314+0.024536133132581496j),(-0.2932703312445565+0.004542983437399209j),(0.7521985140225887+0.010371554369526715j)
2020-12-15T22:29:04,15000000.0,(-0.6066470537371865+0.08269403941701677j),(-0.2365958661777211+0.028068357652816803j),(-0.2813048932332715-4.8857404986309486e-05j),(0.7508232483525105+0.009392762433967236j)
2020-12-15T22:37:36,15000000.0,(-0.6055807915335762+0.08372471254747431j),(-0.2132805235087243+0.03160283454612848j),(-0.26904766354975823-0.004691221001389984j),(0.7479421125056166+0.008148072018893487j)
2020-12-15T22:46:08,15000000.0,(-0.6038197890193989+0.08461233512338819j),(-0.1900692684075752+0.0351199857291734j),(-0.25651866498707593-0.009376677595608795j),(0.7435729734724534+0.006644221859567152j)
2020-12-15T22:54:40,15000000.0,(-0.6013479253557347+0.08535278392009803j),(-0.16704898321665188+0.03859986858520699j),(-0.243739964062258-0.014096804526781033j),(0.7377395536851904+0.004889558955791873j)
