Time, Freq, J11, J12, J21, J22
2020-12-15T20:04:00,21000000.0,(-0.5301824948110738+0.0396394329326368j),(-0.5873203430326402-0.0003366168523486583j),(-0.4242624645958446+0.050539650124387665j),(0.5929054917773899-0.016515442393175688j)
2020-12-15T20:12:32,21000000.0,(-0.5382029967075612+0.04140590122816346j),(-0.5739463572786828+4.800011122688824e-06j),(-0.4193956778605762+0.04836138288538147j),(0.6141266352857649-0.014997169861621536j)
2020-12-15T20:21:04,21000000.0,(-0.5457063532344681+0.04308381639552251j),(-0.5592971235215192+0.00048663191702097257j),(-0.4141259502516168+0.046143397957399614j),(0.6343868267452342-0.013609865503718408j)
2020-12-15T20:29:36,21000000.0,(-0.5526970707739661+0.04468205960941165j),(-0.5434281481414233+0.0011069016423804062j),(-0.4084619895527851+0.043885087483271565j),(0.6536032451433024-0.012359958618581659j)
2020-12-15T20:38:08,21000000.0,(-0.5591795456099163+0.04620940595482564j),(-0.5264000499614825+0.001863009423531927j),(-0.4024111658929899+0.041585021007790074j),(0.6716970310050776-0.011252989953442847j)
2020-12-15T20:46:40,21000000.0,(-0.565157760760912+0.0476743092298651j),(-0.508278271216035+0.0027517181702288616j),(-0.3959796721434571+0.039241015409248584j),(0.6885937704221019-0.01029363397733032j)
2020-12-15T20:55:12,21000000.0,(-0.5706350043207065+0.049084706100293404j),(-0.48913275365884973+0.0037691356755800653j),(-0.38917270421979094+0.036850221494562914j),(0.7042239551787263-0.009485724863185644j)
2020-12-15T21:03:44,21000000.0,(-0.5756136110995614+0.05044784193805181j),(-0.4690375860969881+0.0049106970555084055j),(-0.381994657203469+0.034409227951305354j),(0.7185234128315757-0.00883228562244975j)
2020-12-15T21:12:16,21000000.0,(-0.5800947283416683+0.051770119318472634j),(-0.4480706292517381+0.006171150104123745j),(-0.3744493342869224+0.03191418305100582j),(0.7314337016618198-0.008335559429244715j)
2020-12-15T21:20:48,21000000.0,(-0.5840781062581071+0.053056969161462485j),(-0.42631312116161624+0.00754454551165391j),(-0.3665401660367213+0.029360933746860766j),(0.7429024671179999-0.00799704163953207j)
2020-12-15T21:29:20,21000000.0,(-0.5875619136789598+0.054312743604947644j),(-0.40384926811336985+0.009024232759224638j),(-0.35827043933323377+0.026745181352941964j),(0.7528837544925143-0.00781751060870838j)
2020-12-15T21:37:52,21000000.0,(-0.5905425805975562+0.05554062960242412j),(-0.38076582277365645+0.010602861735131846j),(-0.3496435347982411+0.024062651670303865j),(0.7613382742697341-0.007797054929366391j)
2020-12-15T21:46:24,21000000.0,(-0.5930146700310095+0.056742582221141334j),(-0.3571516528293296+0.012272389320261801j),(-0.3406631719396966+0.02130927652411514j),(0.7682336151002075-0.007935094586219424j)
2020-12-15T21:54:56,21000000.0,(-0.5949707827290538+0.0579192769839251j),(-0.3330973040387102+0.014024089801995553j),(-0.3313336605330922+0.01848138260031559j),(0.7735443996934429-0.0082303936159255j)
2020-12-15T22:03:28,21000000.0,(-0.5964014990644685+0.05907008115793169j),(-0.30869456047116495+0.015848568112805994j),(-0.3216601548242512+0.015575882335810648j),(0.7772523800505243-0.008681062340020453j)
2020-12-15T22:12:00,21000000.0,(-0.5972953620891881+0.060193044158876226j),(-0.28403600847435706+0.01773577501379888j),(-0.31164890687932656+0.012590461364197843j),(0.7793464687673998-0.00928454801490413j)
2020-12-15T22:20:32,21000000.0,(-0.5976389052743143+0.061284907580438565j),(-0.2592146098651946+0.01967502401120223j),(-0.3013075135975995+0.009523756663325809j),(0.7798227056852214-0.010037613742006195j)
2020-12-15T22:29:04,21000000.0,(-0.5974167270293711+0.06234113535900507j),(-0.23432329034100033+0.021655010434953163j),(-0.29064515121614676+0.006375519881275693j),(0.778684161099995-0.01093630659128573j)
2020-12-15T22:37:36,21000000.0,(-0.5966116123572148+0.06335596428412943j),(-0.2094545508010219+0.023663833578042894j),(-0.2796727917867773+0.003146761292488346j),(0.7759407790960077-0.011975916848945709j)
2020-12-15T22:46:08,21000000.0,(-0.5952047002372158+0.06432247474784081j),(-0.1847001066254488+0.02568902342888879j),(-0.2684033958119576-0.00016012932678056025j),(0.7716091669840752-0.013150931156091067j)
2020-12-15T22:54:40,21000000.0,(-0.5931756935624827+0.0652326810493062j),(-0.16015056008320483+0.027717573723397372j),(-0.2568520767463897-0.0035412872082382103j),(0.765712338526439-0.014454982794914823j)
