Time, Freq, J11, J12, J21, J22
2020-12-15T20:04:00,28000000.0,(-0.534333692635314+0.03892477809743994j),(-0.6064655301371963+0.024071001705407633j),(-0.4213301580175892+0.03738032630174527j),(0.6060135112715521-0.029609906261498273j)
2020-12-15T20:12:32,28000000.0,(-0.541604526162887+0.039238581740261166j),(-0.5921139468446928+0.023148222521901712j),(-0.4166904940706717+0.036122373614779275j),(0.6281303568024069-0.029737156775321558j)
2020-12-15T20:21:04,28000000.0,(-0.548414837478046+0.03951252118355858j),(-0.5764650907343782+0.022283575682864588j),(-0.4117142441229398+0.034909189070188466j),(0.6492669437684779-0.02994428488547132j)
2020-12-15T20:29:36,28000000.0,(-0.5547726685098516+0.03976523844380347j),(-0.5595780090716258+0.021481693829472275j),(-0.4064096510384547+0.033736183001794366j),(0.6693392803080341-0.030230746902409452j)
2020-12-15T20:38:08,28000000.0,(-0.5606853370587935+0.04001480790422838j),(-0.54151641917098+0.02074665732090937j),(-0.4007830902527769+0.03259721522299978j),(0.6882671463428146-0.030595225807383913j)
2020-12-15T20:46:40,28000000.0,(-0.5661591590640118+0.040278415635820984j),(-0.5223484001569801+0.020081933429921137j),(-0.3948392219084441+0.03148470946227514j),(0.7059745584102102-0.03103567471584798j)
2020-12-15T20:55:12,28000000.0,(-0.5711991960878244+0.04057206313444827j),(-0.5021460637019672+0.019490319360136284j),(-0.3885811655837048+0.03038979342906128j),(0.7223902161050263-0.0315493677223993j)
2020-12-15T21:03:44,28000000.0,(-0.5758090280704543+0.04091029955537956j),(-0.48098520975432196+0.01897389304560098j),(-0.38201069312029867+0.029302464061886413j),(0.7374479247006952-0.032132957845680626j)
2020-12-15T21:12:16,28000000.0,(-0.5799905507318187+0.04130598506245407j),(-0.4589449723779367+0.018533974771977345j),(-0.37512843633649595+0.028211777117245714j),(0.7510869897746232-0.03278254136087915j)
2020-12-15T21:20:48,28000000.0,(-0.5837437973432471+0.0417700867285114j),(-0.4361074576903954+0.018171101384938184j),(-0.36793410732101844+0.02710605962433138j),(0.7632525814770148-0.03349372725383254j)
2020-12-15T21:29:20,28000000.0,(-0.5870667845930163+0.042311507544531356j),(-0.41255737761538974+0.017885013595616457j),(-0.3604267312459421+0.025973143137830557j),(0.773896063963705-0.034261709733232705j)
2020-12-15T21:37:52,28000000.0,(-0.5899553839786751+0.04293694870564065j),(-0.38838167966638715+0.017674655633159425j),(-0.35260489162743197+0.02480061463129608j),(0.7829752869555017-0.03508134111074046j)
2020-12-15T21:46:24,28000000.0,(-0.5924032209927822+0.04365080520604421j),(-0.3636691747575031+0.017538185668764972j),(-0.344466988674345+0.023576080876820508j),(0.7904548342969265-0.03594720177582857j)
2020-12-15T21:54:56,28000000.0,(-0.5944016054724419+0.04445509484213582j),(-0.33851016571888815+0.017472994974317202j),(-0.336011510793768+0.02228744104978342j),(0.7963062240763673-0.036853663769307855j)
2020-12-15T22:03:28,28000000.0,(-0.5959394971868374+0.045349420898110754j),(-0.3129960780424772+0.017475733758555063j),(-0.32723731736211975+0.020923161226158594j),(0.8005080553745797-0.03779494473968542j)
2020-12-15T22:12:00,28000000.0,(-0.5970035102504713+0.04633096872003117j),(-0.2872190982862042+0.017542341999751465j),(-0.3181439301741135+0.019472543924736765j),(0.803046096363067-0.0387651496070756j)
2020-12-15T22:20:32,28000000.0,(-0.5975779593476724+0.04739453625241635j),(-0.2612718243817959+0.0176680841719181j),(-0.3087318287047248+0.0179259855467036j),(0.8039133106658729-0.039758298325653314j)
2020-12-15T22:29:04,28000000.0,(-0.5976449492841663+0.04853259822536767j),(-0.23524693250174333+0.017847587464979407j),(-0.29900274298983526+0.016275214866722846j),(0.8031098206500061-0.04076833934997954j)
2020-12-15T22:37:36,28000000.0,(-0.5971845076672291+0.04973540302275861j),(-0.20923686681059195+0.018074883741104587j),(-0.2889599378573065+0.014513506642461206j),(0.8006428087052898-0.041789149583892474j)
2020-12-15T22:46:08,28000000.0,(-0.5961747589101024+0.05099110065131689j),(-0.18333355561554054+0.018343455984494335j),(-0.2786084814367672+0.012635865495441715j),(0.7965263603172055-0.04281452277381064j)
2020-12-15T22:54:40,28000000.0,(-0.5945921362095402+0.052285899477026485j),(-0.15762815759300555+0.018646290309946446j),(-0.2679554919053342+0.010639176738304106j),(0.7907812548658794-0.04383814909300647j)
