Time, Freq, J11, J12, J21, J22
2020-12-15T20:04:00,24000000.0,(-0.5315672287479979+0.03865580353570066j),(-0.5961221712373149+0.009401491564325347j),(-0.42209222786342776+0.04428505819533996j),(0.5986120775024945-0.021354043918656175j)
2020-12-15T20:12:32,24000000.0,(-0.5391977733035206+0.03979358364846014j),(-0.5822925658539309+0.009229125149225213j),(-0.41738434729980345+0.042530289038639126j),(0.6202858929866145-0.020537090632905493j)
2020-12-15T20:21:04,24000000.0,(-0.5463355887647638+0.04086195028360802j),(-0.5671737531568927+0.009160475056616076j),(-0.4123041606056415+0.04077007618683155j),(0.6409879889857437-0.019828623030827303j)
2020-12-15T20:29:36,24000000.0,(-0.5529872009675951+0.041873927308022335j),(-0.550823021421768+0.009196362130624407j),(-0.4068598171001968+0.03900203292319802j),(0.6606345862087986-0.01923185531651292j)
2020-12-15T20:38:08,24000000.0,(-0.5591587754469814+0.042842259387572926j),(-0.5333026138974971+0.009337054702641828j),(-0.40105789713978435+0.037222662295368476j),(0.6791458040431902-0.018749181839952923j)
2020-12-15T20:46:40,24000000.0,(-0.5648558166153445+0.04377914973035639j),(-0.5146794287660313+0.00958223358103272j),(-0.39490357325470815+0.03542744568715399j),(0.6964461396297225-0.01838221225096807j)
2020-12-15T20:55:12,24000000.0,(-0.5700828899479311+0.04469601942642887j),(-0.495024689832712+0.009930956013502249j),(-0.3884007923994717+0.03361095195069638j),(0.7124649255404919-0.018131811699931107j)
2020-12-15T21:03:44,24000000.0,(-0.5748433684559097+0.04560329155425904j),(-0.47441359422930035+0.010381622228463092j),(-0.381552475037065+0.03176696740108903j),(0.7271367601525753-0.017998145530828652j)
2020-12-15T21:12:16,24000000.0,(-0.5791392038202938+0.046510201781992846j),(-0.45292494281587975+0.010931947489769837j),(-0.37436072793304154+0.029888646604525688j),(0.7404019059240888-0.01798072747585157j)
2020-12-15T21:20:48,24000000.0,(-0.5829707226421081+0.047424636077371775j),(-0.43064075607559993+0.011578941655210848j),(-0.3668270681829887+0.02796868314524206j),(0.7522066525071176-0.0180784698133669j)
2020-12-15T21:29:20,24000000.0,(-0.5863364479861479+0.048352995216063545j),(-0.4076458800348462+0.012318897050993864j),(-0.35895265797826814+0.02599949898517691j),(0.7625036396356869-0.018289733393435176j)
2020-12-15T21:37:52,24000000.0,(-0.5892329479305216+0.04930008552705169j),(-0.3840275833107213+0.013147384494979167j),(-0.3507385492716732+0.02397344975641758j),(0.7712521363255737-0.018612374920487326j)
2020-12-15T21:46:24,24000000.0,(-0.5916547135505216+0.05026903523478249j),(-0.35987514805726817+0.014059256479019223j),(-0.3421859380135984+0.021883042338177214j),(0.7784182711976944-0.019043788608922148j)
2020-12-15T21:54:56,24000000.0,(-0.59359406986252+0.05126123599747277j),(-0.33527945818493865+0.015048656085075092j),(-0.3332964269653854+0.019721159953069847j),(0.783975208833852-0.019580939340629825j)
2020-12-15T22:03:28,24000000.0,(-0.5950411240082485+0.0522763096479809j),(-0.31033258706473205+0.01610903026398335j),(-0.3240722941620582+0.017481288903040435j),(0.7879032679810682-0.020220384905885173j)
2020-12-15T22:12:00,24000000.0,(-0.5959837545566965+0.05331210029102508j),(-0.2851273907477527+0.01723314632228046j),(-0.3145167636684858+0.015157740713284138j),(0.7901899774929474-0.020958285640425182j)
2020-12-15T22:20:32,24000000.0,(-0.5964076452692866+0.05436469207282102j),(-0.25975711162178194+0.018413111084719318j),(-0.3046342733123361+0.01274586315378177j),(0.7908300683339663-0.021790400840513858j)
2020-12-15T22:29:04,24000000.0,(-0.5962963652215059+0.0554284527978848j),(-0.23431499789651505+0.019640392865032903j),(-0.2944307331705481+0.010242233971202443j),(0.7898254018592267-0.02271207251823258j)
2020-12-15T22:37:36,24000000.0,(-0.5956314954281916+0.056496103134707j),(-0.20889394601010206+0.020905846921048268j),(-0.2839137689827283+0.007644832163512798j),(0.7871848369706432-0.0237181981185044j)
2020-12-15T22:46:08,24000000.0,(-0.5943928003951396+0.05755881071679729j),(-0.18358617034395777+0.022199745658150808j),(-0.27309294421515823+0.004953182624342577j),(0.7829240413102987-0.0248031948034771j)
2020-12-15T22:54:40,24000000.0,(-0.5925584413171396+0.05860630779597213j),(-0.15848290478921617+0.023511815090921907j),(-0.2619799558535032+0.0021684714835400664j),(0.7770652535265987-0.025960958502685504j)
