Time, Freq, J11, J12, J21, J22
2020-12-15T20:04:00,23000000.0,(-0.5310462646552523+0.03886440561855989j),(-0.5933255467080958+0.006077798847268867j),(-0.4226528028066727+0.04623861560377103j),(0.59674889325504-0.01963377741643973j)
2020-12-15T20:12:32,23000000.0,(-0.5387934825191796+0.040207982589756976j),(-0.5796397807595136+0.006079190401482743j),(-0.41790319761553096+0.044349186100288734j),(0.6182853474460901-0.018585333466644094j)
2020-12-15T20:21:04,23000000.0,(-0.5460399303493908+0.04147559266382159j),(-0.5646686330927425+0.006196128983761187j),(-0.41277155802494064+0.04244274267632547j),(0.6388531950288938-0.017652669290217356j)
2020-12-15T20:29:36,23000000.0,(-0.5527915578060751+0.04267888886805221j),(-0.5484688485095157+0.006428506864118089j),(-0.4072661529877466+0.040517473946954784j),(0.6583688958227425-0.01684001983600171j)
2020-12-15T20:38:08,23000000.0,(-0.5590540393163429+0.04382930551467903j),(-0.5311021842989657+0.006775647756558941j),(-0.4013937582266592+0.038570556668293725j),(0.6767528323532186-0.016150780971399086j)
2020-12-15T20:46:40,23000000.0,(-0.5648324709292146+0.044937811189043386j),(-0.5126351133915371+0.007236278393387155j),(-0.39515981791360766+0.03659823801545007j),(0.6939297910903177-0.015587541050725028j)
2020-12-15T20:55:12,23000000.0,(-0.5701310896629393+0.04601468262817507j),(-0.4931384963344566+0.007808498252802384j),(-0.38856862706863876+0.03459593715458781j),(0.7098294214860592-0.015152117049616887j)
2020-12-15T21:03:44,23000000.0,(-0.5749530168372994+0.04706930239542554j),(-0.47268722839074384+0.008489750935283093j),(-0.3816235304604058+0.03255836656156131j),(0.7243866668143255-0.01484559468967687j)
2020-12-15T21:12:16,23000000.0,(-0.5793000259327854+0.04810998183469466j),(-0.45135986753935314+0.009276800059337818j),(-0.3743271349206145+0.03047967318630372j),(0.7375421619074024-0.014668371547307922j)
2020-12-15T21:20:48,23000000.0,(-0.5831723355534912+0.0491438097064542j),(-0.4292382463276824+0.010165711674477575j),(-0.36668153257643266+0.02835359880604746j),(0.7492425945982785-0.014620201597253803j)
2020-12-15T21:29:20,23000000.0,(-0.586568427734891+0.05017652598624142j),(-0.40640707227487877+0.011151844027142113j),(-0.35868853443906895+0.026173658366248277j),(0.7594410257187554-0.014700239137258791j)
2020-12-15T21:37:52,23000000.0,(-0.5894848933440477+0.051212420101201396j),(-0.38295351812603784+0.012229844604581031j),(-0.3503499133710847+0.023933333808349645j),(0.7680971641362335-0.01490707954162833j)
2020-12-15T21:46:24,23000000.0,(-0.5919163070121978+0.05225425282075541j),(-0.3589668049109718+0.013393653565112008j),(-0.3416676559274576+0.021626279914584465j),(0.7751775916702216-0.015238794075055045j)
2020-12-15T21:54:56,23000000.0,(-0.5938551351388497+0.05330320130012092j),(-0.33453778135650053+0.0146365122400628j),(-0.3326442218839082+0.01924653759055128j),(0.7806559329130515-0.015692956046980414j)
2020-12-15T22:03:28,23000000.0,(-0.5952916812758493+0.05435882723617112j),(-0.30975850204596633+0.01595097547129182j),(-0.323282808333638+0.016788748882984747j),(0.7845129659680846-0.01626665605884195j)
2020-12-15T22:12:00,23000000.0,(-0.5962140728157025+0.055419068287010924j),(-0.28472181051957995+0.01732892673158951j),(-0.31358761486500086+0.014248367712370877j),(0.7867366702769482-0.016956504852794284j)
2020-12-15T22:20:32,23000000.0,(-0.5966082923974638+0.05648025313338462j),(-0.2595209324206496+0.018761595611307476j),(-0.303564104430969+0.011621859987802324j),(0.7873222101879822-0.01775862332414112j)
2020-12-15T22:29:04,23000000.0,(-0.596458255999361+0.0575371404708249j),(-0.23424908427425495+0.020239577911332587j),(-0.29321925369775786+0.008906887131411568j),(0.7862718548259169-0.018668620421949226j)
2020-12-15T22:37:36,23000000.0,(-0.5957459379405521+0.05858298183682863j),(-0.2089991051865355+0.021752859102011843j),(-0.28256178715124713+0.006102468040227993j),(0.783594837201905-0.019681560690158015j)
2020-12-15T22:46:08,23000000.0,(-0.5944515412719112+0.0596096077831877j),(-0.18386311606934894+0.023290842511719426j),(-0.271602388853127+0.003209115465472686j),(0.7793071580156523-0.020791924141637552j)
2020-12-15T22:54:40,23000000.0,(-0.592553710306439+0.06060753627900315j),(-0.15893221114361106+0.02484238383842137j),(-0.2603538871559588+0.00022894426612652362j),(0.7734313414165532-0.021993561712660228j)
