Time, Freq, J11, J12, J21, J22
2020-12-15T20:04:00,26000000.0,(-0.5329057361495912+0.03858021393901145j),(-0.6018137189010075+0.016954937729802978j),(-0.42138852749565625+0.04041848667404327j),(0.602574070922745-0.025483767818525835j)
2020-12-15T20:12:32,26000000.0,(-0.54032295862809+0.03927832495885126j),(-0.5876946885866353+0.016393061405682533j),(-0.41673655413254396+0.038937581427472806j),(0.6245056745034117-0.025167321164654546j)
2020-12-15T20:21:04,26000000.0,(-0.5472646792748798+0.039922082235440894j),(-0.5722807025587882+0.015910222744559208j),(-0.4117320060807048+0.03747720764736021j),(0.6454602272644216-0.024943981504078325j)
2020-12-15T20:29:36,26000000.0,(-0.5537383863939825+0.040527483322858625j),(-0.5556300730918127+0.015509260846017451j),(-0.40638297308567084+0.036033779888002715j),(0.6653536869428027-0.024814890414253228j)
2020-12-15T20:38:08,26000000.0,(-0.5597510177401097+0.041110102741216056j),(-0.5378059259650032+0.01519247484869253j),(-0.40069581525023135+0.034602377255020966j),(0.6841058481007557-0.024780400347394455j)
2020-12-15T20:46:40,26000000.0,(-0.5653086694077081+0.041684797917366415j),(-0.5188758950804869+0.014961575016794995j),(-0.3946753206451461+0.03317684576419299j),(0.7016408147331803-0.0248401154140276j)
2020-12-15T20:55:12,26000000.0,(-0.5704163288848848+0.04226543820224652j),(-0.4989117921078504+0.01481763508569402j),(-0.3883248848499547+0.03174992395740155j),(0.7178874531288869-0.024992938379200448j)
2020-12-15T21:03:44,26000000.0,(-0.5750776329684416+0.042864660655961874j),(-0.4779892573320924+0.014761049678172235j),(-0.3816467080232008+0.030313391700508917j),(0.7327798193101899-0.025237123426656505j)
2020-12-15T21:12:16,26000000.0,(-0.5792946504413035+0.04349365482789891j),(-0.4561873971286603+0.01479149981010269j),(-0.3746420063183011+0.02885824169591003j),(0.7462575565544932-0.025570333807196848j)
2020-12-15T21:20:48,26000000.0,(-0.5830676896228775+0.0441619775975667j),(-0.4335884104631893+0.014907928393259495j),(-0.36731123524231224+0.027374872543669104j),(0.7582662602691518-0.025989702935083972j)
2020-12-15T21:29:20,26000000.0,(-0.5863951307650386+0.04487739823136186j),(-0.41027720854132527+0.015108526426355524j),(-0.359654324662104+0.025853301586508573j),(0.7687578054235671-0.026491896815679754j)
2020-12-15T21:37:52,26000000.0,(-0.5892732848829889+0.045645773476314114j),(-0.38634102825463656+0.01539072943766903j),(-0.35167092498972613+0.024283394584076766j),(0.7776906332608495-0.027073175122534814j)
2020-12-15T21:46:24,26000000.0,(-0.5916962813852503+0.04647095239758734j),(-0.3618690417874916+0.015751222914837524j),(-0.34336066468519355+0.022655108257182907j),(0.785029992097111-0.027729447818646693j)
2020-12-15T21:54:56,26000000.0,(-0.5936559879648693+0.04735471081298852j),(-0.3369519653854163+0.01618595500342685j),(-0.3347234185963536+0.02095874062483003j),(0.7907481269071363-0.028456324121811254j)
2020-12-15T22:03:28,26000000.0,(-0.595141966939579+0.048296715462541j),(-0.3116816691201805+0.01669015476597878j),(-0.32575958471030997+0.01918518296544554j),(0.79482441310217-0.029249150992384114j)
2020-12-15T22:12:00,26000000.0,(-0.5961414717821694+0.04929451808898173j),(-0.2861507933495655+0.01725835458959413j),(-0.31647036632453124+0.01732616680090883j),(0.7972454297687355-0.030103038968658513j)
2020-12-15T22:20:32,26000000.0,(-0.59663948701035+0.050343579615508505j),(-0.26045237641953123+0.017884415926471615j),(-0.30685805453073994+0.0153744990142217j),(0.7980049699579521-0.03101287425454848j)
2020-12-15T22:29:04,26000000.0,(-0.5966188131403569+0.05143732434048756j),(-0.23467949859749893+0.01856155823591543j),(-0.2969263047886765+0.01332427855686523j),(0.7971039874394895-0.03197331716985697j)
2020-12-15T22:37:36,26000000.0,(-0.5960601966738657+0.0525672235205639j),(-0.20892494891535082+0.019282391591574376j),(-0.2866804015289887+0.01117108917136566j),(0.794550481733017-0.03297878819535509j)
2020-12-15T22:46:08,26000000.0,(-0.5949425034176911+0.05372290718576769j),(-0.1832809188423179+0.02003895396797954j),(-0.27612750410485987+0.008912163613017093j),(0.7903593258893891-0.03402344393037009j)
2020-12-15T22:54:40,26000000.0,(-0.5932429318072103+0.054892302325186604j),(-0.15783872687232592+0.020822754499605415j),(-0.2652768686063922+0.00654651637881918j),(0.78455204350248-0.035101145967647886j)
