Time, Freq, J11, J12, J21, J22
2020-12-15T20:04:00,30000000.0,(-0.5359434556825043+0.03961224420282883j),(-0.6106526874492235+0.03138011649134323j),(-0.4217698590503681+0.0347527573461848j),(0.6093004130981461-0.03404399915080102j)
2020-12-15T20:12:32,30000000.0,(-0.5431083921681538+0.03955613303084439j),(-0.5960955412324036+0.030092035352358812j),(-0.41711059618999247+0.03369387708024722j),(0.6315601692857034-0.03460326677169838j)
2020-12-15T20:21:04,30000000.0,(-0.5498270038243037+0.03947543958082278j),(-0.5802412835281258+0.028842547913165168j),(-0.41212893961455144+0.032704587362199944j),(0.6528378474687953-0.0352298418811335j)
2020-12-15T20:29:36,30000000.0,(-0.5561076280756518+0.03939138390291809j),(-0.5631495219385619+0.027638027831437727j),(-0.40683344305383073+0.031779381719286806j),(0.6730497530101739-0.03592167656212068j)
2020-12-15T20:38:08,30000000.0,(-0.5619577072678663+0.03932445967875217j),(-0.5448843795521113+0.026484265296217634j),(-0.4012306641554191+0.03091097857424823j),(0.6921158914973935-0.03667595575552234j)
2020-12-15T20:46:40,30000000.0,(-0.5673835276380792+0.03929408935806598j),(-0.5255141857063599+0.0253863951232986j),(-0.39532530954854833+0.030090446910132802j),(0.7099604241904265-0.03748914134955548j)
2020-12-15T20:55:12,30000000.0,(-0.5723899845213524+0.0393183051282287j),(-0.5051111496502947+0.024348831594375096j),(-0.3891204030660398+0.029307359891430733j),(0.7265121062931371-0.0383570248960394j)
2020-12-15T21:03:44,30000000.0,(-0.57698037312647+0.03941346009741618j),(-0.48375102289831184+0.02337521412056369j),(-0.3826174725529506+0.02854997561852254j),(0.7417047028892149-0.03927478888370842j)
2020-12-15T21:12:16,30000000.0,(-0.5811562036684226+0.03959397261936884j),(-0.4615127550422576+0.02246836674733586j),(-0.3758167520392145+0.027805443810970595j),(0.7554773787266642-0.04023707608474263j)
2020-12-15T21:20:48,30000000.0,(-0.5849170401419779+0.03987210550471337j),(-0.4384781445624639+0.021630273072305677j),(-0.36871739709447643+0.027060036662310633j),(0.7677750599053637-0.04123806593826539j)
2020-12-15T21:29:20,30000000.0,(-0.5882603621668872+0.04025778103011166j),(-0.4147314879172501+0.020862066848864123j),(-0.3613177135747067+0.026299401542676914j),(0.7785487633641388-0.042271556016704674j)
2020-12-15T21:37:52,30000000.0,(-0.5911814511495901+0.04075843222999517j),(-0.39035922669482376+0.020164037158825785j),(-0.353615400127655+0.025508832249817055j),(0.7877558914287852-0.04333104592013021j)
2020-12-15T21:46:24,30000000.0,(-0.5936733029016455+0.04137889080902141j),(-0.36544959446315933+0.019535646218901786j),(-0.34560780565097476+0.024673554533386346j),(0.795360486418409-0.04440982018347337j)
2020-12-15T21:54:56,30000000.0,(-0.5957265699693163+0.04212131201065179j),(-0.34009226569353584+0.018975557424540053j),(-0.33729220237807156+0.023779020525290212j),(0.801333439787326-0.04550102640775509j)
2020-12-15T22:03:28,30000000.0,(-0.5973295376153094+0.04298513685009422j),(-0.3143780080085026+0.01848167119220457j),(-0.32866607328771835+0.02281120565209166j),(0.8056526505698886-0.04659774498500685j)
2020-12-15T22:12:00,30000000.0,(-0.5984681368681002+0.04396709194669789j),(-0.2883983429462294+0.018051166622618634j),(-0.3197274117073625+0.021756900997051576j),(0.8083031273291198-0.047693047198784734j)
2020-12-15T22:20:32,30000000.0,(-0.599125997428591+0.04506122692047771j),(-0.26224521922120875+0.017680547571953403j),(-0.31047502852768616+0.020603993746585135j),(0.8092770298563837-0.048780039518384j)
2020-12-15T22:29:04,30000000.0,(-0.5992845417553766+0.04625898881406573j),(-0.2360107028378196+0.017365692442915658j),(-0.30090886088974256+0.01934172859084993j),(0.8085736485340639-0.04985189311807931j)
2020-12-15T22:37:36,30000000.0,(-0.5989231199641721+0.04754933223667276j),(-0.20978669005394382+0.017101907696293793j),(-0.2910302758830505+0.01796094378058015j),(0.806199321653612-0.050901858874049216j)
2020-12-15T22:46:08,30000000.0,(-0.5980191836460735+0.04891886323873785j),(-0.1836646463270518+0.016883985563678882j),(-0.2808423617860241+0.016454276632179573j),(0.802167293798599-0.051923269377600806j)
2020-12-15T22:54:40,30000000.0,(-0.5965484952541039+0.05035201412861712j),(-0.15773537452559994+0.01670626677863933j),(-0.270350200230562+0.014816334775518879j),(0.7964975206486227-0.052909530395384395j)
