Time, Freq, J11, J12, J21, J22
2020-12-15T20:04:00,17000000.0,(-0.5292511333846894+0.04278566918471169j),(-0.5735651130842343-0.012088697125418161j),(-0.4296436026031591+0.06085577723017387j),(0.5847527968401093-0.011715131377334254j)
2020-12-15T20:12:32,17000000.0,(-0.5379939286931292+0.04544382691443687j),(-0.5609159701329501-0.011104323696445574j),(-0.4243900823269764+0.0580198602586166j),(0.6051663841481508-0.00923340005113454j)
2020-12-15T20:21:04,17000000.0,(-0.5461862570862248+0.04799017384735819j),(-0.5470229873821622-0.009924665373992031j),(-0.41868590837414876+0.055100486192582135j),(0.6246408697083352-0.006915563436241952j)
2020-12-15T20:29:36,17000000.0,(-0.5538284058366418+0.050427955191891694j),(-0.5319385685270483-0.008555440287422113j),(-0.4125416082795413+0.052099641163336j),(0.6430959199042141-0.004773080461503812j)
2020-12-15T20:38:08,17000000.0,(-0.5609208485418223+0.05276050716919865j),(-0.5157203552256949-0.0070031987744609j),(-0.40596669384355366+0.04901883791475684j),(0.6604551937086081-0.0028163725418930913j)
2020-12-15T20:46:40,17000000.0,(-0.5674639644507657+0.05499110992261602j),(-0.49843095920968533-0.005275309066923773j),(-0.39896980737778687+0.045859163693532365j),(0.67664682587138-0.0010548175969676556j)
2020-12-15T20:55:12,17000000.0,(-0.5734577776332971+0.057122855810594855j),(-0.48013765304866857-0.003379945982736902j),(-0.3915588861994599+0.04262133901031768j),(0.6916038824558963+0.0005032534791535768j)
2020-12-15T21:03:44,17000000.0,(-0.5789017177642595+0.059158534135888896j),(-0.46091202557634503-0.0013260801219694266j),(-0.38374134158360224+0.039305788090227334j),(0.7052647824373107+0.0018505581067777394j)
2020-12-15T21:12:16,17000000.0,(-0.5837944032386305+0.06110053226758064j),(-0.4408296078534703+0.0008765344678872712j),(-0.37552424943498813+0.035912721733291984j),(0.7175736801657981+0.00298086158289978j)
2020-12-15T21:20:48,17000000.0,(-0.5881334472801398+0.06295075243894384j),(-0.4199694731627588+0.0032173756774122927j),(-0.36691455029382974+0.032442232695173684j),(0.7284808052114368+0.003888975917411306j)
2020-12-15T21:29:20,17000000.0,(-0.5919152871529441+0.06471054275258169j),(-0.39841381637276474+0.005685172213958086j),(-0.35791925813697417+0.028894403591686522j),(0.7379427544410887+0.004570759164197476j)
2020-12-15T21:37:52,17000000.0,(-0.5951350380819136+0.06638064111826787j),(-0.3762475149535306+0.008267925950504362j),(-0.34854567670575703+0.025269426124295866j),(0.7459227329602233+0.005023116986100915j)
2020-12-15T21:46:24,17000000.0,(-0.5977863740915385+0.06796113093678866j),(-0.35355767558800727+0.010952937007061991j),(-0.338801622494467+0.021567729812508672j),(0.7523907393344925+0.005244008246315037j)
2020-12-15T21:54:56,17000000.0,(-0.5998614391201232+0.06945140785065322j),(-0.33043317098539504+0.013726830558155758j),(-0.32869565280349955+0.01779011751899191j),(0.7573236910554464+0.00523245638753994j)
2020-12-15T22:03:28,17000000.0,(-0.6013507926381542+0.07085015758198299j),(-0.3069641705053766+0.016575584660520587j),(-0.31823729528847494+0.013937903945344788j),(0.7607054875057092+0.004988568014919497j)
2020-12-15T22:12:00,17000000.0,(-0.6022433937013387+0.07215534519344989j),(-0.28324167189546406+0.019484558434382116j),(-0.30743727533919957+0.01001305315609966j),(0.7625270081854882+0.0045135594342239965j)
2020-12-15T22:20:32,17000000.0,(-0.6025266270040438+0.07336421658498797j),(-0.25935704050805575+0.022438520680502356j),(-0.29630773585448184+0.0060183106787570695j),(0.762786046535123+0.0038097911267129725j)
2020-12-15T22:29:04,17000000.0,(-0.6021863731367346+0.07447331312788774j),(-0.2354015628833206+0.02542167962535193j),(-0.2848624434095525+0.0019573258932787615j),(0.7614871816164732+0.0028808092189686867j)
2020-12-15T22:37:36,17000000.0,(-0.6012071235694936+0.07547850013289488j),(-0.2114660232174533+0.028417714843410016j),(-0.2731169756273095-0.002165238780002799j),(0.7586415921841589+0.0017313922294295131j)
2020-12-15T22:46:08,17000000.0,(-0.5995721391493335+0.07637500964604949j),(-0.18764030865298875+0.03140981307928488j),(-0.2610888842880128-0.006343614920537498j),(0.7542668199074101+0.0003676006739780327j)
2020-12-15T22:54:40,17000000.0,(-0.597263649136324+0.07715749756663808j),(-0.16401304936215244+0.0343807097971874j),(-0.24879783031766006-0.010570853264280257j),(0.7483864900136322-0.0012031732930274383j)
