Time, Freq, J11, J12, J21, J22
2020-12-15T20:04:00,18000000.0,(-0.5293765773292038+0.041785020371819255j),(-0.5772303648442266-0.00929808287308414j),(-0.4280090996091338+0.05805034423969074j),(0.58684879466651-0.01272268969516058j)
2020-12-15T20:12:32,18000000.0,(-0.5379154124327713+0.044214457647674524j),(-0.564386967360392-0.008469173115974704j),(-0.4228728952245584+0.05538898107165242j),(0.6074876794526427-0.010484466481390654j)
2020-12-15T20:21:04,18000000.0,(-0.5459121250829113+0.04653767554254125j),(-0.5502903722841354-0.007459365138215604j),(-0.4172987094607061+0.052654896522621446j),(0.6271811030409805-0.008401575276536665j)
2020-12-15T20:29:36,18000000.0,(-0.5533682391232788+0.048759337400256855j),(-0.5349938385284442-0.006273445898243226j),(-0.41129648409546155+0.04984940714868148j),(0.6458479715035124-0.006484134831709819j)
2020-12-15T20:38:08,18000000.0,(-0.5602853961495823+0.05088415130705391j),(-0.5185558422337847-0.004916968141279128j),(-0.40487506388534117+0.046973272380762925j),(0.6634111825086113-0.004741270394393374j)
2020-12-15T20:46:40,18000000.0,(-0.5666650660210091+0.05291670548723509j),(-0.5010398029288162-0.0033962435867268006j),(-0.3980423479913524+0.044026747436614465j),(0.6797981095380762-0.0031811161095537106j)
2020-12-15T20:55:12,18000000.0,(-0.5725082775805777+0.05486132022252762j),(-0.4825137698250782-0.0017183394460479526j),(-0.39080546006349637+0.04100964863180969j),(0.6949410594296093-0.001810820126513487j)
2020-12-15T21:03:44,18000000.0,(-0.5778153714522698+0.056721917680157496j),(-0.46305007435546364+0.00010892444476523288j),(-0.3831709331168463+0.03792143193263204j),(0.7087776969727262-0.0006365520711951051j)
2020-12-15T21:12:16,18000000.0,(-0.5825857757216338+0.05850190985350211j),(-0.44272495487614094+0.002076980116771295j),(-0.3751449063875723+0.03476128543232637j),(0.7212514313581185+0.0003364877945338284j)
2020-12-15T21:20:48,18000000.0,(-0.586817805239437+0.06020410404743545j),(-0.42161815699195915+0.004176519256672541j),(-0.36673333173393935+0.03152823576751048j),(0.732311760983317+0.0011040589058079094j)
2020-12-15T21:29:20,18000000.0,(-0.5905084847517091+0.06183062453875531j),(-0.3998125147869613+0.006397504874204866j),(-0.35794218898074986+0.028221268272298122j),(0.7419145713940201+0.0016628716620266796j)
2020-12-15T21:37:52,18000000.0,(-0.5936533975342069+0.06338284915367566j),(-0.37739351511087094+0.00872918688499875j),(-0.3487777089087625+0.024839459408765304j),(0.7500223829067646+0.0020105815697128025j)
2020-12-15T21:46:24,18000000.0,(-0.5962465618201399+0.06486135956518908j),(-0.3544488487184846+0.011160120903859948j),(-0.3392466029832508+0.021382119305583563j),(0.756604543182234+0.0021457882577611354j)
2020-12-15T21:54:56,18000000.0,(-0.5982803384440406+0.06626590459045606j),(-0.33106795269452405+0.01367818923732147j),(-0.32935629818568024+0.01784894127609351j),(0.7616373605298112+0.002068041295457821j)
2020-12-15T22:03:28,18000000.0,(-0.5997453739785403+0.06759537644316287j),(-0.30734154755801524+0.016270623317171322j),(-0.3191151733540931+0.014240154064288905j),(0.7651041749915737+0.001777854342864537j)
2020-12-15T22:12:00,18000000.0,(-0.6006305833329344+0.06884780021402123j),(-0.2833611761495872+0.018924026872235142j),(-0.3085327933090709+0.010556672412842279j),(0.7669953647266216+0.0012767284492000309j)
2020-12-15T22:20:32,18000000.0,(-0.6009231753913963+0.07002033731049237j),(-0.25921875044025744+0.021624399861890495j),(-0.29762013528449544+0.006800241084620296j),(0.7673082877969823+0.0005671844701012297j)
2020-12-15T22:29:04,18000000.0,(-0.6006087238892655+0.07110930366803955j),(-0.2350061129177626+0.024357163812922442j),(-0.2863898016071244+0.002973567690269181j),(0.7660471613949482-0.0003471964074329872j)
2020-12-15T22:37:36,18000000.0,(-0.5996712840242909+0.07211020332842728j),(-0.2108146208611485+0.027107189588344818j),(-0.27485621336612087-0.0009195594671018392j),(0.7632228828443621-0.0014617258717596366j)
2020-12-15T22:46:08,18000000.0,(-0.5980935535478543+0.07301777775579939j),(-0.18673475921955854+0.02985882928360909j),(-0.2630357795574705-0.0048741717410037445j),(0.7588527989829944-0.0027705580015880064j)
2020-12-15T22:54:40,18000000.0,(-0.5958570753060228+0.07382607074588811j),(-0.16285578787356647+0.03259595407595371j),(-0.2509470377899663-0.008884040671912657j),(0.7529604320845259-0.004266638086612015j)
