Time, Freq, J11, J12, J21, J22
2020-12-15T20:04:00,19000000.0,(-0.529575792385339+0.04093095501570384j),(-0.5807424861933982-0.006405803446375955j),(-0.42657255180771403+0.05539904620963767j),(0.5889063908348522-0.013862018438637208j)
2020-12-15T20:12:32,19000000.0,(-0.5379266365734648+0.04313555241812261j),(-0.5677136231083059-0.005736045014221303j),(-0.42153948017877885+0.05290544192578867j),(0.6097546249151196-0.011865631581132225j)
2020-12-15T20:21:04,19000000.0,(-0.5457437092751897+0.04523966591815603j),(-0.5534232395355532-0.004899321559373417j),(-0.4160806020526236+0.05034998181236302j),(0.6296516583655912-0.010016237868644647j)
2020-12-15T20:29:36,19000000.0,(-0.5530296456231109+0.04724937150953172j),(-0.537925396306528-0.003899485009658188j),(-0.41020536418347786+0.04773332627444702j),(0.6485157311593943-0.008322671766343048j)
2020-12-15T20:38:08,19000000.0,(-0.5597871258814126+0.049170741799496126j),(-0.5212793432739697-0.0027410963450429757j),(-0.40392203540537885+0.04505549251115556j),(0.6662690690945834-0.006792813597593169j)
2020-12-15T20:46:40,19000000.0,(-0.5660185793723206+0.051009664196256285j),(-0.5035492399577082-0.001429426135042944j),(-0.3972378620908229+0.042315912818157275j),(0.6828383684916862-0.005433599417929682j)
2020-12-15T20:55:12,19000000.0,(-0.5717259090142754+0.05277167665131191j),(-0.4848038379074947+2.954149534659155e-05j),(-0.39015924268271357+0.03951350676024618j),(0.6981552551681229-0.004251033889540434j)
2020-12-15T21:03:44,19000000.0,(-0.5769102383716169+0.0544618226668641j),(-0.46511613097276394+0.0016291043788245235j),(-0.3826919173577582+0.036646768041041215j),(0.7121567114466332-0.003250205716472097j)
2020-12-15T21:12:16,19000000.0,(-0.5815716820597503+0.05608452602629057j),(-0.44456297941703643+0.0033618397117028526j),(-0.37484116994210986+0.03371386668126869j),(0.7247854660169621-0.0024353048347065544j)
2020-12-15T21:20:48,19000000.0,(-0.5857091402818049+0.057643484849315155j),(-0.42322471127759304+0.005219605146000415j),(-0.3666120396085276+0.03071276641155638j),(0.7359903431669408-0.0018096400378438782j)
2020-12-15T21:29:20,19000000.0,(-0.5893201177622478+0.05914158373130437j),(-0.4011847061738508+0.007193544256459177j),(-0.3580095417164485+0.0276413568716915j),(0.7457265661218793-0.0013756554120524533j)
2020-12-15T21:37:52,19000000.0,(-0.592400568806675+0.06058082276202931j),(-0.37852896356861526+0.009274096449136637j),(-0.3490388965019585+0.024497598913699223j),(0.75395601097714-0.0011349434667479144j)
2020-12-15T21:46:24,19000000.0,(-0.594944770837907+0.061962262253668306j),(-0.3553456591233224+0.011451010614034807j),(-0.33970576471693026+0.02127968052013056j),(0.7606474063682841-0.0010882527789366323j)
2020-12-15T21:54:56,19000000.0,(-0.5969452298819938+0.0632859824511169j),(-0.33172469340413124+0.013713361486139528j),(-0.33001648858991806+0.017986179839847356j),(0.7657764744857932-0.0012354880565602273j)
2020-12-15T22:03:28,19000000.0,(-0.5983926223135791+0.06455105814030533j),(-0.3077572361224053+0.016049567889154497j),(-0.31997833453398317+0.014616230711984488j),(0.7693260102734854-0.0015757009672301117j)
2020-12-15T22:12:00,19000000.0,(-0.5992757768503124+0.06575554838008067j),(-0.28353527281933755+0.018447412111543833j),(-0.30959973385998835+0.011169685861445742j),(0.7712858960777003-0.0021070708268971744j)
2020-12-15T22:20:32,19000000.0,(-0.5995817003693031+0.06689650201126339j),(-0.25915115991200016+0.02089406036969378j),(-0.29889051599172756+0.007647272527939508j),(0.7716530515922384-0.0028268751501966554j)
2020-12-15T22:29:04,19000000.0,(-0.5992956497231958+0.06796997965956872j),(-0.23469719453162993+0.023376084938873283j),(-0.2878621280814647+0.004050735557309775j),(0.7704313208872913-0.0037314510965190065j)
2020-12-15T22:37:36,19000000.0,(-0.5984012500157831+0.06897109271186173j),(-0.2102652072565373+0.02587948894847299j),(-0.27652783568755496+0.00038296389274198586j),(0.7676313006255123-0.004816149721076152j)
2020-12-15T22:46:08,19000000.0,(-0.5968806580348154+0.06989405949358546j),(-0.18594618323311884+0.02838973549560381j),(-0.2649028989225758-0.003351902919137335j),(0.7632701158894105-0.0060752857161145216j)
2020-12-15T22:54:40,19000000.0,(-0.5947147677600189+0.0707322783413427j),(-0.16182991726503962+0.030891782884683035j),(-0.2530047200658688-0.0071483902963742985j),(0.7573711516415792-0.007502085767182442j)
