Time, Freq, J11, J12, J21, J22
2020-12-15T20:04:00,25000000.0,(-0.5322656803770234+0.03855188376842876j),(-0.5993035858212734+0.01348274359145322j),(-0.4216212161551723+0.04210476744617377j),(0.6007964708357039-0.023550188267836163j)
2020-12-15T20:12:32,25000000.0,(-0.5397727297600251+0.039447627062518004j),(-0.5853116033515859+0.013099040428798215j),(-0.4169496848253659+0.04050315487070635j),(0.6226182340881923-0.023007785825669286j)
2020-12-15T20:21:04,25000000.0,(-0.5467965337439584+0.04028205971985362j),(-0.5700268403603239+0.012805367393695595j),(-0.4119168922701287+0.03891017781312481j),(0.6434651221015463-0.022565369483120525j)
2020-12-15T20:29:36,25000000.0,(-0.5533441925613168+0.041069835310555976j),(-0.5535071724291665+0.012603651114202058j),(-0.4065309227814098+0.037322783937428106j),(0.6632531687551334-0.022224993884926537j)
2020-12-15T20:38:08,25000000.0,(-0.5594223427086201+0.04182525164852867j),(-0.5358153553072929+0.012495276220073804j),(-0.4007982029575205+0.03573668932037258j),(0.6819022742787614-0.02198791245583107j)
2020-12-15T20:46:40,25000000.0,(-0.5650368606954483+0.04256197087867134j),(-0.5170187216700642+0.012481042646774514j),(-0.3947236612828516+0.034146474577541844j),(0.6993366810832693-0.02185461599415537j)
2020-12-15T20:55:12,25000000.0,(-0.5701925904295734+0.043292761975303594j),(-0.49718885093977694+0.012561123082515918j),(-0.38831090927606915+0.03254570303409177j),(0.7154854291147917-0.02182487693075517j)
2020-12-15T21:03:44,25000000.0,(-0.5748930952184399+0.0440292691172091j),(-0.47640121840303584+0.012735024282673025j),(-0.38156243985899113+0.030927061042850014j),(0.7302827849465767-0.021897798748813556j)
2020-12-15T21:12:16,25000000.0,(-0.5791404345183411+0.044781807947386745j),(-0.45473482917772645+0.013001555240810009j),(-0.3744798397858516+0.029282520167051487j),(0.7436686399689106-0.02207186962037491j)
2020-12-15T21:20:48,25000000.0,(-0.5829349657106947+0.04555919058162706j),(-0.4322718396153164+0.013358804172137839j),(-0.36706401369183855+0.027603520221061585j),(0.7555888747856341-0.022345018764905824j)
2020-12-15T21:29:20,25000000.0,(-0.5862751709812402+0.04636857931032764j),(-0.40909717045550803+0.013804125066661115j),(-0.3593154193663304+0.025881171571196515j),(0.7659956848888081-0.022714673411212017j)
2020-12-15T21:37:52,25000000.0,(-0.5891575109544087+0.04721536863854797j),(-0.3852981125892754+0.014334133508478942j),(-0.35123431360443397+0.02410647386663685j),(0.7748478642386214-0.023177813704456596j)
2020-12-15T21:46:24,25000000.0,(-0.5915763074825748+0.04810309520972475j),(-0.36096392798046284+0.01494471063123096j),(-0.3428210085499057+0.022270547369214303j),(0.7821110415481676-0.023731022548244062j)
2020-12-15T21:54:56,25000000.0,(-0.5935236590865942+0.049033375346859455j),(-0.33618544891448005+0.015631013632547233j),(-0.33407613780231415+0.020364871931162362j),(0.7877578640596513-0.024370527330758226j)
2020-12-15T22:03:28,25000000.0,(-0.5949893932822472+0.05000587028562819j),(-0.3110546775759032+0.016387491298978953j),(-0.32500092962191934+0.01838152756776794j),(0.7917681243999526-0.02509223090086357j)
2020-12-15T22:12:00,25000000.0,(-0.5959610596006788+0.051018279263001565j),(-0.2856643917997402+0.017207903251853146j),(-0.3155974840631837+0.016313430176855718j),(0.7941288260647696-0.025891729850072247j)
2020-12-15T22:20:32,25000000.0,(-0.5964239665563686+0.05206636070567136j),(-0.2601077617088295+0.018085342231855997j),(-0.30586904882664423+0.014154555667492654j),(0.7948341854577037-0.026764319234632905j)
2020-12-15T22:29:04,25000000.0,(-0.5963612643559081+0.05314398155427806j),(-0.23447798240469353+0.019012259415287166j),(-0.29582028760204543+0.011900146117734918j),(0.7938855702660338-0.027704984068457818j)
2020-12-15T22:37:36,25000000.0,(-0.5957540733994643+0.05424319426465745j),(-0.20886792957566078+0.019980493326823286j),(-0.2854575349483343+0.00954689256892648j),(0.7912913763507171-0.028708379012021345j)
2020-12-15T22:46:08,25000000.0,(-0.5945816569296353+0.055354340541725104j),(-0.18336984215221863+0.020981303481270065j),(-0.27478903121855647+0.007093090098284865j),(0.7870668479431121-0.029768798720970588j)
2020-12-15T22:54:40,25000000.0,(-0.5928216345178341+0.056466180181682354j),(-0.1580750363018364+0.022005410151084745j),(-0.26382513230815224+0.004538762328290749j),(0.7812338478886056-0.030880141960587686j)
