Time, Freq, J11, J12, J21, J22
2020-12-15T20:04:00,20000000.0,(-0.5298454906468416+0.04021769802693895j),(-0.5841047071661044-0.0034169425848122907j),(-0.42532621549686755+0.05289709600235071j),(0.5909253495794617-0.015127994810567107j)
2020-12-15T21:02:40,20000000.0,(-0.5755722925878926+0.052184951232135374j),(-0.4696479170037308+0.0030525079687514444j),(-0.38323595773837893+0.035812089442428086j),(0.7137093566426278-0.006078293996393546j)
2020-12-15T22:01:20,20000000.0,(-0.5969736592299068+0.06141395760830522j),(-0.314284694456082+0.015383452572230776j),(-0.32332105427016455+0.015853844369187284j),(0.7726167098447871-0.004949891676069098j)
2020-12-15T23:00:00,20000000.0,(-0.592183696102919+0.06837571787366604j),(-0.14586085818101618+0.03067487654685404j),(-0.2475151270367351-0.007640264128268378j),(0.7571577999964855-0.0118247744202395j)
